167.091, 129.955, 5.016,  6.650 False
166.841, 129.955, 5.005,  6.700 False
166.591, 129.956, 4.993,  6.750 False
166.341, 129.956, 5.001,  6.800 False
166.091, 129.957, 5.008,  6.850 False
165.840, 129.957, 5.012,  6.900 False
165.590, 129.958, 5.015,  6.950 False
165.339, 129.958, 5.008,  7.000 False
165.089, 129.959, 4.998,  7.050 False
164.839, 129.959, 5.004,  7.100 False
164.589, 129.960, 5.009,  7.150 False
164.338, 129.960, 5.012,  7.200 False
164.088, 129.961, 5.014,  7.250 False
163.837, 129.961, 5.002,  7.300 False
163.588, 129.962, 4.988,  7.350 False
163.338, 129.962, 4.997,  7.400 False
163.088, 129.962, 5.004,  7.450 False
162.838, 129.962, 5.009,  7.500 False
162.587, 129.963, 5.013,  7.550 False
162.336, 129.963, 5.015,  7.600 False
162.086, 129.963, 5.008,  7.650 False
161.836, 129.963, 4.996,  7.700 False
161.586, 129.964, 5.002,  7.750 False
161.336, 129.964, 5.007,  7.800 False
161.085, 129.964, 5.011,  7.850 False
160.835, 129.964, 5.006,  7.900 False
160.585, 129.965, 4.996,  7.950 False
160.335, 129.965, 5.003,  8.000 False
160.085, 129.965, 5.008,  8.050 False
159.834, 129.965, 5.012,  8.100 False
159.583, 129.965, 5.013,  8.150 False
159.333, 129.965, 5.000,  8.200 False
159.084, 129.965, 4.987,  8.250 False
158.834, 129.965, 4.996,  8.300 False
158.584, 129.965, 5.003,  8.350 False
158.334, 129.965, 5.009,  8.400 False
158.083, 129.965, 5.013,  8.450 False
157.832, 129.965, 5.015,  8.500 False
157.582, 129.965, 5.015,  8.550 False
157.332, 129.965, 4.992,  8.600 False
157.082, 129.965, 5.000,  8.650 False
156.832, 129.965, 5.005,  8.700 False
156.581, 129.965, 5.009,  8.750 False
156.331, 129.965, 5.012,  8.800 False
156.080, 129.965, 5.015,  8.850 False
155.830, 129.965, 5.001,  8.900 False
155.581, 129.965, 4.980,  8.950 False
155.331, 129.964, 4.991,  9.000 False
155.081, 129.964, 4.999,  9.050 False
154.831, 129.964, 5.006,  9.100 False
154.580, 129.964, 5.011,  9.150 False
154.330, 129.964, 5.015,  9.200 False
154.079, 129.963, 5.017,  9.250 False
153.828, 129.963, 5.003,  9.300 False
153.579, 129.963, 4.996,  9.350 False
153.329, 129.963, 5.002,  9.400 False
153.078, 129.962, 5.007,  9.450 False
152.828, 129.962, 5.011,  9.500 False
152.577, 129.962, 5.013,  9.550 False
152.327, 129.962, 5.011,  9.600 False
152.077, 129.961, 4.989,  9.650 False
151.827, 129.961, 4.997,  9.700 False
151.577, 129.961, 5.003,  9.750 False
151.327, 129.960, 5.008,  9.800 False
151.076, 129.960, 5.011,  9.850 False
150.826, 129.960, 5.013,  9.900 False
150.575, 129.959, 5.013,  9.950 False
150.325, 129.959, 4.990, 10.000 False
150.076, 129.958, 4.997, 10.050 False
149.826, 129.958, 5.003, 10.100 False
149.575, 129.958, 5.008, 10.150 False
149.325, 129.957, 5.011, 10.200 False
149.074, 129.957, 5.012, 10.250 False
148.823, 129.957, 5.013, 10.300 False
148.574, 129.956, 4.990, 10.350 False
148.324, 129.956, 4.997, 10.400 False
148.074, 129.956, 5.003, 10.450 False
147.824, 129.955, 5.007, 10.500 False
147.573, 129.955, 5.010, 10.550 False
147.323, 129.954, 5.012, 10.600 False
147.072, 129.954, 5.012, 10.650 False
146.822, 129.954, 4.989, 10.700 False
146.573, 129.953, 4.996, 10.750 False
146.323, 129.953, 5.002, 10.800 False
146.072, 129.953, 5.007, 10.850 False
145.822, 129.952, 5.010, 10.900 False
145.571, 129.952, 5.012, 10.950 False
145.321, 129.952, 5.012, 11.000 False
145.071, 129.951, 4.989, 11.050 False
144.821, 129.951, 4.996, 11.100 False
144.571, 129.951, 5.002, 11.150 False
144.321, 129.950, 5.007, 11.200 False
